/usr/lib/python3.10/runpy.py:126: RuntimeWarning: 'extraction.extraction_engine' found in sys.modules after import of package 'extraction', but prior to execution of 'extraction.extraction_engine'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 22 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 23 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 24 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 25 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 26 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - extraction.graffiti_client - ERROR - Chunk 27 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,620 - __main__ - WARNING - Graffiti failed for 017_Aggarwal_2024_45bce18a: All chunks failed extraction
2025-12-06 02:00:33,620 - __main__ - INFO - Trying LLM fallback for 017_Aggarwal_2024_45bce18a
2025-12-06 02:00:33,620 - extraction.llm_fallback - INFO - Split text into 15 chunks for LLM
2025-12-06 02:00:33,620 - extraction.llm_fallback - INFO - LLM extracting from 15 chunks
2025-12-06 02:00:33,620 - extraction.llm_fallback - INFO - Processing chunk 1/15
2025-12-06 02:00:33,702 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,703 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,703 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,703 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,704 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,704 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,704 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,705 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,705 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,706 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 0 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 1 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 2 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 3 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 4 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 5 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 6 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 7 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 8 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 9 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 10 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 11 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 12 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - extraction.graffiti_client - ERROR - Chunk 13 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,707 - __main__ - WARNING - Graffiti failed for 009_Ramaraj_2025_adba03b2: All chunks failed extraction
2025-12-06 02:00:33,707 - __main__ - INFO - Trying LLM fallback for 009_Ramaraj_2025_adba03b2
2025-12-06 02:00:33,708 - extraction.llm_fallback - INFO - Split text into 1 chunks for LLM
2025-12-06 02:00:33,708 - extraction.llm_fallback - INFO - LLM extracting from 1 chunks
2025-12-06 02:00:33,708 - extraction.llm_fallback - INFO - Processing chunk 1/1
2025-12-06 02:00:33,794 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,794 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,794 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
